"","rownum","Player","Age","Team","Pos","MIN","eFG..Rank","eFG.","Rim.Rank","Rim","Short.Mid.Rank","Short.Mid","Long.Mid.Rank","Long.Mid","All.Mid.Rank","All.Mid","Corner.Three.Rank","Corner.Three","Non.Corner.Rank","Non.Corner","All.Three.Rank","All.Three","Season","Second.year"
"1","1","Alex Abrines",25.3,"OKC","Wing",558,35,"49.00%",45,"59%",0,"0%",87,"50%",68,"42%",27,"35%",28,"32%",21,"32%","2018-2019",2019
"2","1","Quincy Acy",28.1,"PHX","Big",102,0,"25.00%",100,"100%",0,"0%",0,"0%",0,"0%",0,"20%",0,"10%",0,"13%","2018-2019",2019
"3","1","Jaylen Adams",22.5,"ATL","Point",395,13,"45.50%",2,"47%",0,"13%",46,"40%",2,"28%",0,"9%",75,"38%",29,"33%","2018-2019",2019
"4","1","Steven Adams",25.3,"OKC","Big",2678,80,"59.60%",51,"66%",75,"46%",39,"33%",85,"46%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"5","1","Bam Adebayo",21.3,"MIA","Big",1876,71,"58.30%",65,"68%",50,"40%",60,"38%",52,"39%",0,"0%",0,"60%",0,"33%","2018-2019",2019
"6","1","Deng Adel",21.7,"CLE","Forward",187,1,"37.10%",0,"20%",89,"50%",37,"33%",73,"43%",0,"33%",2,"24%",0,"26%","2018-2019",2019
"7","1","LaMarcus Aldridge",33.3,"SAS","Big",2698,34,"52.40%",72,"69%",73,"46%",79,"44%",80,"45%",0,"25%",10,"26%",9,"26%","2018-2019",2019
"8","1","Rawle Alkins",21,"CHI","Forward",108,4,"39.70%",6,"44%",30,"33%",3,"0%",14,"29%",0,"50%",0,"14%",0,"27%","2018-2019",2019
"9","1","Grayson Allen",23.1,"UTA","Combo",322,49,"49.60%",3,"45%",56,"40%",85,"50%",73,"43%",87,"50%",16,"29%",59,"36%","2018-2019",2019
"10","1","Jarrett Allen",20.5,"BKN","Big",2093,79,"59.50%",73,"69%",32,"36%",2,"0%",28,"35%",0,"14%",0,"0%",2,"13%","2018-2019",2019
"11","1","Kadeem Allen",25.8,"NYK","Combo",377,66,"51.60%",69,"60%",20,"31%",78,"47%",31,"35%",0,"33%",98,"48%",97,"45%","2018-2019",2019
"12","1","Al-Farouq Aminu",28.1,"POR","Big",2291,27,"51.40%",24,"60%",23,"33%",21,"23%",11,"30%",35,"34%",46,"34%",44,"34%","2018-2019",2019
"13","1","Justin Anderson",25,"ATL","Wing",414,20,"47.00%",33,"56%",30,"30%",8,"20%",20,"28%",13,"30%",39,"33%",22,"32%","2018-2019",2019
"14","1","Kyle Anderson",25.1,"MEM","Forward",1270,83,"56.90%",68,"66%",85,"48%",80,"50%",93,"48%",56,"38%",0,"9%",9,"28%","2018-2019",2019
"15","1","Ryan Anderson",30.5,"PHX","Big",277,1,"37.50%",19,"58%",5,"20%",79,"44%",32,"36%",0,"0%",8,"24%",6,"21%","2018-2019",2019
"16","1","Giannis Antetokounmpo",23.9,"MIL","Forward",2364,93,"60.20%",90,"74%",51,"36%",44,"36%",45,"36%",0,"17%",6,"27%",1,"26%","2018-2019",2019
"17","1","Carmelo Anthony",34.4,"HOU","Forward",291,24,"48.30%",41,"60%",75,"44%",70,"43%",76,"43%",0,"33%",23,"32%",21,"32%","2018-2019",2019
"18","1","OG Anunoby",21.3,"TOR","Forward",1293,62,"53.80%",66,"65%",25,"29%",72,"44%",34,"33%",12,"27%",86,"40%",35,"33%","2018-2019",2019
"19","1","Ryan Arcidiacono",24.6,"CHI","Combo",1912,86,"53.40%",44,"56%",100,"51%",68,"44%",97,"49%",56,"41%",61,"35%",61,"37%","2018-2019",2019
"20","1","Trevor Ariza",33.3,"PHX","Wing",883,34,"48.90%",9,"46%",8,"13%",87,"50%",9,"24%",48,"39%",50,"35%",56,"36%","2018-2019",2019
"21","1","Trevor Ariza",33.3,"WAS","Wing",1463,49,"50.40%",60,"63%",11,"20%",68,"42%",24,"30%",58,"41%",14,"28%",23,"32%","2018-2019",2019
"22","1","D.J. Augustin",31,"ORL","Point",2265,94,"57.00%",70,"60%",26,"33%",89,"50%",48,"39%",94,"52%",88,"41%",94,"43%","2018-2019",2019
"23","1","Deandre Ayton",20.3,"PHX","Big",2182,72,"58.50%",88,"73%",88,"50%",50,"35%",77,"44%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"24","1","Dwayne Bacon",23.2,"CHA","Wing",651,77,"54.50%",87,"68%",36,"31%",19,"27%",29,"30%",79,"45%",90,"41%",94,"43%","2018-2019",2019
"25","1","Marvin Bagley",19.6,"SAC","Big",1524,36,"52.70%",57,"66%",60,"42%",78,"44%",67,"42%",1,"19%",52,"35%",29,"31%","2018-2019",2019
"26","1","Lonzo Ball",21,"LAL","Point",1401,44,"49.00%",54,"58%",4,"23%",20,"34%",0,"27%",0,"21%",57,"36%",33,"33%","2018-2019",2019
"27","1","Mohamed Bamba",20.5,"ORL","Big",745,41,"53.00%",91,"74%",6,"21%",82,"45%",27,"34%",43,"35%",16,"28%",24,"30%","2018-2019",2019
"28","1","J.J. Barea",34.3,"DAL","Combo",744,22,"46.80%",56,"58%",41,"37%",85,"50%",61,"41%",0,"25%",28,"31%",20,"31%","2018-2019",2019
"29","1","Harrison Barnes",26.4,"SAC","Forward",948,75,"54.70%",63,"64%",73,"44%",17,"25%",61,"39%",90,"47%",83,"39%",87,"42%","2018-2019",2019
"30","1","Harrison Barnes",26.4,"DAL","Forward",1569,28,"48.90%",39,"60%",23,"27%",31,"30%",13,"28%",85,"43%",72,"37%",81,"39%","2018-2019",2019
"31","1","Will Barton",27.8,"DEN","Wing",1189,25,"47.80%",26,"55%",58,"38%",40,"35%",48,"37%",31,"36%",48,"35%",43,"35%","2018-2019",2019
"32","1","Keita Bates-Diop",22.8,"MIN","Wing",454,43,"50.00%",92,"72%",37,"32%",21,"29%",30,"30%",1,"21%",31,"32%",9,"27%","2018-2019",2019
