"","X","Player.Name","Position","Age","Team","GP","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Rank"
"1",225,"AJ Griffin","SF",19,"ATL",72,12,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1,0.6,0.2,0.6,1.2,8.9,1401,12.6,0.577,0.486,0.088,2.9,9.2,6,7,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,9
"2",278,"Jalen Johnson","SF",21,"ATL",70,6,14.9,2.3,4.6,0.491,0.4,1.5,0.288,1.8,3.1,0.587,0.537,0.7,1.1,0.628,0.7,3.3,4,1.2,0.5,0.5,0.6,1.6,5.6,1042,14.1,0.554,0.323,0.242,5.3,24.6,14.8,10.4,1.7,2.8,10.3,16,0.8,1.3,2.1,0.099,-1.2,1.5,0.3,0.6,10
"3",43,"Garrison Mathews","SG",26,"ATL",54,0,12.7,1.4,3.7,0.363,1.2,3.3,0.35,0.2,0.4,0.476,0.52,0.9,1,0.906,0.2,1.1,1.4,0.5,0.4,0.1,0.4,1.1,4.8,686,9.7,0.573,0.896,0.264,1.7,10,5.8,5.1,1.7,0.7,7.8,14.7,0.7,0.3,1,0.067,-2,-0.4,-2.4,-0.1,11
"4",21,"Bruno Fernando","C",24,"ATL",39,4,10.4,1.5,2.9,0.527,0,0.1,0,1.5,2.8,0.546,0.527,0.9,1.3,0.7,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9,405,16.6,0.571,0.036,0.446,14.5,22.8,18.6,10.8,0.7,8.1,15.7,16.3,0.5,0.4,0.9,0.109,-2.8,0.7,-2,0,12
"5",252,"Aaron Holiday","PG",26,"ATL",63,6,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.5,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,845,9.4,0.528,0.4,0.145,3.2,6.4,4.8,13,2.1,1.2,13.3,13.4,0.3,0.6,0.9,0.053,-2.9,0.9,-2,0,13
"6",36,"Frank Kaminsky","C",29,"ATL",36,0,6.5,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.595,0.4,0.4,0.875,0.2,1.3,1.4,0.9,0.2,0.1,0.3,0.6,2.5,235,15.3,0.635,0.524,0.254,3.2,21.2,12.1,17.8,1.2,1.6,11.4,14.1,0.5,0.2,0.7,0.141,1.2,1.7,2.8,0.3,14
"7",30,"Justin Holiday","SF",33,"ATL",46,2,15.3,1.7,4.4,0.377,1,3.1,0.322,0.7,1.3,0.508,0.49,0.1,0.2,0.625,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5,4.5,706,6.6,0.494,0.701,0.039,0.8,8.1,4.4,7.5,1.3,2.3,9.6,14.1,-0.4,0.5,0.1,0.008,-3.7,-0.1,-3.9,-0.3,15
"8",306,"Vit Krejci","PG",22,"ATL",29,0,5.7,0.5,1.3,0.405,0.2,0.7,0.238,0.3,0.6,0.625,0.473,0,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0,0.2,0.6,1.2,165,7.7,0.475,0.568,0.054,3.9,13.4,8.6,12.4,1.4,0.5,11.7,10.9,0,0.1,0.1,0.042,-4.2,0.6,-3.6,-0.1,16
"9",158,"Jarrett Culver","SF",23,"ATL",10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,137,9.5,0.452,0.279,0.302,7.9,22.6,15.2,5.5,2.1,1.2,12.6,17.1,-0.1,0.2,0,0.014,-4.8,0.6,-4.2,-0.1,17
"10",338,"Tyrese Martin","SG",23,"ATL",16,0,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.5,1,0.5,0.413,0.1,0.1,1,0.3,0.4,0.8,0.1,0.1,0,0.1,0.1,1.3,66,7.7,0.44,0.304,0.087,8.2,11.7,10,3.9,0.7,0,7.7,16.5,0,0,0,-0.01,-4.2,-3.1,-7.4,-0.1,18
